Wall time,Step,Value
1591862543.706028,48,0.0
1591862958.380754,179,0.0
1591862977.230459,241,0.3333333432674408
1591863052.125703,486,0.6666666865348816
1591863071.236664,548,0.25
1591863216.253196,591,0.6666666865348816
1591863218.396972,598,0.25
1591863236.923645,659,0.0
1591863257.673992,727,0.0
1591863286.371254,821,0.5
1591863350.476584,1027,1.0
1591863577.760791,1346,0.5
1591863593.570932,1398,0.6666666865348816
1591863609.005583,1449,0.5
1591863825.320742,1747,0.0
1591863826.233662,1750,0.0
1591863869.043216,1890,0.5
1591864128.590171,2321,1.0
1591864153.361991,2403,1.0
1591864182.280229,2499,0.6666666865348816
1591864182.584319,2500,1.0
1591864242.972821,2699,0.5
1591864541.375012,3245,0.6666666865348816
1591864546.237206,3261,0.6666666865348816
1591864564.398063,3320,0.6666666865348816
1591864786.179894,3633,0.0
1591864786.806691,3635,0.5
1591865012.707411,3971,1.0
1591865124.495557,4332,0.25
1591865149.602201,4415,0.5
1591865177.425111,4507,0.5
1591865317.387856,4524,1.0
1591865458.026374,4987,0.6666666865348816
1591865640.032638,5150,0.5
1591865703.88026,5361,1.0
1591865946.282788,5740,0.5
1591866002.269437,5924,1.0
1591866028.947523,6007,1.0
1591866223.047198,6218,0.3333333432674408
1591866375.900608,6717,1.0
1591866379.599514,6729,0.0
1591866548.444867,6872,1.0
1591866582.250581,6984,1.0
1591866641.682809,7173,0.5
1591866865.263379,7478,0.0
1591866866.207589,7481,1.0
1591866967.980916,7817,0.3333333432674408
1591866978.48165,7852,0.6666666865348816
1591867173.772899,8086,0.75
1591867208.677479,8200,0.0
1591867221.469346,8242,0.5
1591867431.015266,8519,1.0
1591867434.168778,8529,1.0
1591867546.459021,8899,0.0
1591867563.746908,8956,0.75
1591867791.085177,9281,0.5
1591867853.967325,9489,0.0
1591868013.353156,9575,0.5
1591868057.166914,9719,1.0
1591868400.592163,10421,1.0
1591868424.899791,10501,0.6666666865348816
1591868438.124746,10544,0.0
1591868688.795331,10927,1.0
1591868707.332851,10988,1.0
1591868725.478668,11042,1.0
1591869003.528785,11554,0.5
1591869013.738755,11588,0.75
1591869049.89025,11707,0.0
1591869264.566206,11991,1.0
1591869266.083995,11996,0.6666666865348816
1591869326.31829,12186,0.5
1591869364.6314,12312,1.0
1591869672.916536,12899,0.5
1591869849.971409,13056,1.0
1591869858.074805,13083,1.0
1591870156.936624,13619,0.5
1591870163.914522,13642,0.6666666865348816
1591870499.236722,14316,1.0
1591870735.43989,14690,0.6666666865348816
1591870768.950344,14801,0.0
1591870797.415996,14895,0.75
1591871114.499428,15496,0.0
1591871342.523026,15787,1.0
1591871451.388164,16139,0.5
1591871943.598797,16880,1.0
1591872009.283334,17089,1.0
1591872018.589515,17120,1.0
1591872086.428917,17340,1.0
1591872093.259683,17362,1.0
1591872292.672121,17566,0.0
1591872297.096292,17580,0.0
1591872712.783803,18475,1.0
1591873210.981554,19193,1.0
1591873321.420941,19555,0.5
1591873495.362222,19664,0.6666666865348816
1591873523.393832,19755,1.0
1591873605.524054,20019,1.0
1591873623.340013,20077,0.5
1591873626.114398,20086,0.5
1591873819.233532,20268,0.0
1591873821.752447,20276,1.0
1591873843.510256,20347,1.0
1591873879.322179,20464,0.5
1591873909.477039,20563,1.0
1591873921.525598,20602,1.0
1591874125.95551,20803,1.0
1591874126.885701,20806,0.5
1591874149.392969,20879,1.0
1591874220.426225,21104,1.0
1591874240.159174,21168,0.3333333432674408
1591874267.092644,21256,0.5
1591874436.343537,21343,0.75
1591874598.473741,21872,1.0
1591874857.4274,22269,0.6666666865348816
1591874883.602873,22354,1.0
1591874892.056746,22382,0.6666666865348816
1591875409.347069,23162,1.0
1591875412.42105,23172,1.0
1591875425.627617,23216,0.6666666865348816
1591875454.302918,23310,1.0
1591875476.826964,23385,1.0
1591875497.075158,23451,0.6666666865348816
1591875531.888096,23564,0.5
1591875709.229737,23694,1.0
1591875718.746013,23725,0.5
1591875987.600029,24171,0.0
1591876028.987291,24306,0.6666666865348816
1591876029.625281,24308,1.0
1591876041.273035,24346,0.6666666865348816
1591876132.537175,24645,0.3333333432674408
1591876300.867984,24751,1.0
1591876365.02525,24958,1.0
1591876605.266288,25277,0.6666666865348816
1591876647.583446,25415,0.5
1591876777.249357,25836,1.0
1591876945.401659,25871,0.6666666865348816
1591876968.155828,25945,0.5
1591877087.112016,26327,1.0
1591877375.254631,26821,0.6666666865348816
1591877375.557691,26822,1.0
1591877627.562558,27178,1.0
1591877870.253374,27529,1.0
1591877900.332573,27627,1.0
1591877910.963815,27662,0.6666666865348816
1591877968.08842,27849,1.0
1591877996.046447,27940,0.75
1591878290.534143,28462,0.0
1591878322.525265,28567,1.0
1591878600.707818,28994,1.0
1591878610.592648,29020,1.0
1591878630.841624,29086,0.75
1591878816.117946,29225,0.5
1591878835.215309,29287,0.75
1591878898.828178,29495,0.75
1591878941.720656,29635,1.0
1591879182.803961,29853,1.0
1591879238.437762,30029,1.0
1591879246.322539,30055,0.6666666865348816
1591879289.926671,30198,0.0
1591879475.095652,30351,1.0
1591879519.276967,30494,1.0
1591879562.952072,30636,1.0
1591879591.515718,30730,1.0
1591879595.794414,30744,1.0
1591880087.416748,31430,0.6666666865348816
1591880098.741491,31467,1.0
1591880232.58042,31904,1.0
1591880249.69183,31960,0.6666666865348816
1591880477.262179,32231,1.0
1591880547.207096,32459,1.0
1591880580.042747,32566,1.0
1591880761.060887,32681,1.0
1591880792.919963,32786,1.0
1591880833.699457,32918,0.3333333432674408
1591880836.202321,32926,0.6666666865348816
1591880878.512495,33058,0.3333333432674408
1591881066.801798,33205,0.5
1591881126.504018,33399,1.0
1591881135.128461,33427,1.0
1591881378.213594,33761,1.0
1591881381.880654,33773,0.3333333432674408
1591881392.995259,33809,1.0
1591881409.68773,33863,1.0
1591881420.878164,33900,1.0
1591881432.387475,33937,1.0
1591881471.844605,34060,1.0
1591881711.358343,34386,1.0
1591881761.308692,34549,0.6666666865348816
1591881784.063443,34623,0.0
1591882152.238585,35357,0.6666666865348816
1591882297.812487,35378,1.0
1591882337.442746,35507,0.3333333432674408
1591882427.362865,35795,0.75
1591882630.017568,35977,1.0
1591882657.574011,36061,0.75
1591882976.021016,36653,1.0
1591882985.266076,36683,0.25
1591883018.31766,36791,0.0
1591883044.436083,36874,1.0
1591883304.873392,37226,0.5
1591883393.127659,37513,0.75
1591883623.681176,37788,0.5
1591883658.419637,37900,0.0
1591883976.07511,38479,1.0
1591884058.171921,38744,0.75
1591884242.042895,38864,0.75
1591884286.667671,39005,1.0
1591884547.959034,39320,1.0
1591884672.736157,39726,0.5
1591884893.99692,39933,0.5
1591884930.021641,40044,0.5
1591885014.332204,40320,1.0
1591885300.882454,40524,1.0
1591885351.753597,40691,0.3333333432674408
1591885367.790251,40744,0.6666666865348816
1591885389.825384,40817,1.0
1591885674.915463,41064,1.0
1591885744.854801,41295,0.0
1591885766.36033,41365,1.0
1591886038.039221,41563,0.5
1591886357.284048,42158,1.0
1591886454.549405,42474,0.6666666865348816
1591886460.039599,42492,0.6666666865348816
1591886675.675003,42702,1.0
1591887073.492886,43542,1.0
1591887110.40617,43663,0.5
1591887132.643823,43735,1.0
1591887140.823109,43762,1.0
1591887142.007787,43766,1.0
1591887305.847314,43829,1.0
1591887366.165445,44017,1.0
1591887391.038017,44097,1.0
1591887430.188642,44224,1.0
1591887432.30057,44231,1.0
1591887445.880193,44275,1.0
1591887462.219362,44328,0.3333333432674408
1591887763.651157,44840,0.75
1591887951.370095,44988,1.0
1591888079.411161,45396,0.5
1591888261.503297,45531,0.0
1591888308.79937,45682,1.0
1591888652.216276,46342,1.0
1591888657.185136,46358,1.0
1591888681.497091,46437,1.0
1591889247.101124,47325,0.5
1591889351.380699,47662,1.0
1591889372.075805,47729,1.0
1591889384.198199,47768,1.0
1591889567.135667,47906,0.5
1591889586.982767,47971,1.0
1591889593.986384,47994,0.5
1591889628.683455,48100,1.0
1591889661.152918,48205,1.0
1591889675.330025,48251,1.0
1591889903.697486,48546,1.0
1591890277.491566,49296,1.0
1591890301.589331,49375,1.0
1591890483.247659,49501,0.3333333432674408
1591890790.714764,50030,1.0
1591890806.358126,50080,1.0
1591890839.968847,50189,1.0
1591890849.298435,50219,1.0
1591891178.915641,50843,1.0
1591891230.523296,51003,1.0
1591891422.288022,51158,1.0
1591891451.11337,51251,0.5
1591891769.398728,51822,1.0
1591891834.745215,52025,0.6666666865348816
1591892066.212418,52316,0.6666666865348816
1591892085.157354,52377,1.0
1591892133.361255,52534,1.0
1591892186.779709,52706,1.0
1591892396.595572,52930,0.0
1591892407.038457,52963,1.0
1591892456.426273,53116,0.5
1591892460.911431,53131,1.0
1591892715.678298,53492,0.0
1591892789.853582,53730,1.0
1591892791.968381,53737,1.0
1591892793.19952,53741,1.0
1591892837.682548,53886,0.5
1591892851.286548,53930,0.6666666865348816
1591893063.183021,54147,0.5
1591893379.695956,54715,1.0
1591893415.887776,54831,1.0
1591893455.92186,54961,1.0
1591893471.310454,55006,1.0
1591893710.917435,55323,0.75
1591893785.696604,55567,1.0
1591893788.192155,55575,1.0
1591893978.8552,55737,1.0
1591893995.114789,55790,0.5
1591894320.062695,56361,1.0
1591894372.5084,56531,1.0
1591894376.790758,56545,0.3333333432674408
1591894403.427427,56632,1.0
1591894609.456748,56811,1.0
1591894619.710228,56844,0.0
1591894905.269191,57329,1.0
1591894960.810622,57508,0.5
1591895544.959887,58464,1.0
1591895580.677062,58580,1.0
1591895630.508433,58743,0.75
1591895638.842585,58770,0.6666666865348816
1591895643.959881,58787,0.6666666865348816
1591895953.012692,59288,0.5
1591895967.565831,59335,0.5
1591896005.104688,59456,1.0
1591896215.408,59664,1.0
1591896224.716316,59694,1.0
1591896526.641772,60203,0.0
1591896528.525207,60209,1.0
1591896535.421603,60231,0.6666666865348816
1591896563.116744,60321,1.0
1591896618.067182,60499,1.0
1591896990.338457,61229,1.0
1591897154.303919,61300,1.0
1591897204.610398,61462,1.0
1591897279.315507,61704,0.5
1591897563.908089,62163,1.0
1591897588.55233,62243,1.0
1591897817.335171,62540,1.0
1591897827.048041,62571,0.6666666865348816
1591897928.302149,62898,0.0
1591898119.141776,63048,0.5
1591898180.023057,63244,1.0
1591898412.489522,63537,1.0
1591898461.244127,63695,1.0
1591898521.520656,63889,1.0
1591898781.198893,64249,1.0
1591898872.996493,64545,0.6666666865348816
1591899065.949302,64711,1.0
1591899128.266761,64913,1.0
1591899384.109345,65269,0.75
1591899398.750044,65316,1.0
1591899494.32775,65625,1.0
1591899507.162044,65667,0.6666666865348816
1591899783.460723,66073,1.0
1591899859.611848,66322,0.5
1591900148.922351,66811,1.0
1591900346.170505,67000,1.0
1591900360.113766,67045,0.75
1591900640.928094,67464,1.0
1591901034.660834,68287,1.0
1591901040.206157,68305,1.0
1591901070.334432,68402,0.6666666865348816
1591901085.882903,68453,0.3333333432674408
1591901278.336684,68614,1.0
1591901608.526463,69195,0.5
1591901612.794385,69209,0.6666666865348816
