Wall time,Step,Value
1589473743.217618,43,3.1566531658172607
1589473891.876613,95,4.3877763748168945
1589473917.175678,168,1.6858611106872559
1589473938.690659,230,3.229231357574463
1589473940.403522,235,3.2017393112182617
1589473953.752121,274,2.1058690547943115
1589473965.802867,309,3.9265756607055664
1589473966.575291,311,2.3667349815368652
1589473969.371287,319,2.717768669128418
1589474023.46568,475,2.0013997554779053
1589474044.667525,537,4.096698760986328
1589474093.653953,580,1.2501908540725708
1589474096.22501,587,2.6122374534606934
1589474112.900347,635,1.5846431255340576
1589474117.604583,648,2.085268020629883
1589474140.911662,715,1.3849716186523438
1589474173.385277,809,2.1811907291412354
1589474245.664037,1015,3.1917920112609863
1589474263.487916,1067,2.3246641159057617
1589474384.346089,1317,1.5186245441436768
1589474390.07358,1334,1.4630320072174072
1589474391.464967,1338,4.035714626312256
1589474408.084822,1386,0.9787799715995789
1589474410.499284,1393,1.2173007726669312
1589474425.635207,1437,0.7268946170806885
1589474547.275879,1692,2.1336073875427246
1589474561.73274,1735,1.3196117877960205
1589474562.817964,1738,3.209629535675049
1589474610.602959,1878,2.245522975921631
1589474624.376966,1918,1.8978850841522217
1589474666.1309,2037,0.3407869040966034
1589474687.001713,2097,2.028862714767456
1589474755.426557,2200,1.9127626419067383
1589474776.888859,2263,2.934804916381836
1589474792.092953,2308,2.3964812755584717
1589474819.920715,2390,0.5288694500923157
1589474836.153649,2437,1.2722573280334473
1589474853.034167,2486,2.435324192047119
1589474853.328544,2487,1.663949966430664
1589474857.532711,2499,2.9110655784606934
1589474869.104931,2533,1.8052160739898682
1589474956.21379,2686,2.8021655082702637
1589474975.03453,2741,1.4036824703216553
1589475078.260837,3039,2.2724649906158447
1589475177.082783,3231,0.313011109828949
1589475182.645263,3247,0.7008423805236816
1589475202.84943,3306,1.2358298301696777
1589475310.743288,3619,0.540069043636322
1589475311.506728,3621,1.2453217506408691
1589475328.553319,3671,2.4354665279388428
1589475386.567289,3742,1.4027433395385742
1589475411.329209,3815,0.4101269245147705
1589475413.756547,3822,2.4078152179718018
1589475450.432784,3929,1.8895528316497803
1589475460.113263,3957,2.3269195556640625
1589475488.829703,4037,1.5237877368927002
1589475548.416917,4197,1.8097140789031982
1589475629.167342,4318,1.1711746454238892
1589475661.733891,4401,1.3646718263626099
1589475695.300437,4493,0.8868165016174316
1589475701.125485,4510,0.40954720973968506
1589475755.591031,4669,1.4784107208251953
1589475758.464558,4677,2.316361904144287
1589475830.934031,4789,2.06480073928833
1589475894.090637,4972,1.5760788917541504
1589475941.314544,5107,0.35225051641464233
1589475950.991143,5135,4.121137619018555
1589476055.958641,5346,1.318371057510376
1589476060.768898,5360,2.0013933181762695
1589476126.636925,5550,1.4476401805877686
1589476171.661224,5680,1.9751713275909424
1589476187.202863,5724,1.9136898517608643
1589476216.80627,5809,1.327234148979187
1589476270.581062,5865,0.41578802466392517
1589476273.023283,5872,0.9842699766159058
1589476285.440904,5908,0.52951979637146
1589476313.785061,5991,1.9487899541854858
1589476386.189585,6201,1.0357279777526855
1589476392.712653,6220,0.6629170775413513
1589476416.557801,6290,0.7730264067649841
1589476548.11379,6575,1.5121798515319824
1589476558.116668,6604,1.669817328453064
1589476591.242168,6700,0.7169914841651917
1589476595.437223,6712,4.984802722930908
1589476644.243578,6855,0.5063654780387878
1589476716.340877,6967,2.4499683380126953
1589476768.114206,7115,0.8839229345321655
1589476782.234067,7156,0.34686630964279175
1589476860.473049,7383,1.1531826257705688
1589476921.102857,7461,0.8005982637405396
1589476922.14729,7464,0.2632719874382019
1589476938.524157,7512,0.6544157266616821
1589477033.634083,7789,0.9994783997535706
1589477037.195377,7799,0.9954413175582886
1589477049.029225,7834,0.6160194277763367
1589477136.063357,7992,0.5297353267669678
1589477162.472081,8067,1.2755701541900635
1589477201.548616,8181,1.3799164295196533
1589477215.642628,8222,1.5264652967453003
1589477263.885418,8364,1.6111880540847778
1589477268.844136,8378,1.34214186668396
1589477344.290205,8499,2.337005615234375
1589477347.891398,8509,0.841701865196228
1589477380.146942,8602,1.5532584190368652
1589477476.160194,8879,0.9075897336006165
1589477493.44197,8929,2.0107531547546387
1589477495.880778,8936,0.5189912915229797
1589477550.952626,8994,0.9359496235847473
1589477643.708961,9261,0.9093141555786133
1589477715.976181,9469,1.7786192893981934
1589477783.078834,9555,1.0512524843215942
1589477788.006944,9568,0.7530105113983154
1589477831.378328,9681,1.1740896701812744
1589477838.260936,9699,2.8619961738586426
1589477893.886264,9844,1.2366955280303955
1589477915.720133,9908,2.6395552158355713
1589478077.715003,10277,0.6546368598937988
1589478080.038525,10284,2.1245126724243164
1589478120.029615,10400,2.120434522628784
1589478147.676519,10480,1.6489216089248657
1589478162.362301,10523,1.6042287349700928
1589478225.202947,10608,0.8824478983879089
1589478276.587546,10758,1.1668076515197754
1589478276.952086,10759,1.2731471061706543
1589478284.534872,10781,2.2668204307556152
1589478308.443804,10851,1.0517120361328125
1589478326.371498,10903,0.3449937403202057
1589478327.286824,10906,1.1405836343765259
1589478348.453493,10967,0.7946717739105225
1589478351.110231,10975,0.9778499603271484
1589478367.544631,11021,2.176194906234741
1589478429.569352,11103,1.9238204956054688
1589478539.326078,11420,2.01352858543396
1589478557.893026,11473,0.8791199922561646
1589478564.930766,11493,1.0905437469482422
1589478578.683692,11533,0.7178200483322144
1589478589.811095,11567,0.47025972604751587
1589478664.867399,11686,1.0422887802124023
1589478690.29428,11760,1.4516658782958984
1589478762.48218,11970,3.1266841888427734
1589478764.053474,11975,1.2871674299240112
1589478821.738542,12139,1.0586965084075928
1589478863.952608,12165,1.3249006271362305
1589478907.152771,12291,1.5503511428833008
1589479072.583802,12672,0.8481096029281616
1589479143.716692,12878,1.492904782295227
1589479165.255087,12940,3.1163625717163086
1589479198.53667,13035,1.813263177871704
1589479207.646322,13062,1.1348892450332642
1589479218.946928,13095,0.7652037739753723
1589479224.134953,13110,1.5603587627410889
1589479358.68999,13403,0.9238235950469971
1589479408.086624,13547,1.384536862373352
1589479425.735356,13598,3.2340660095214844
1589479433.83843,13621,1.8126059770584106
1589479533.105958,13811,0.619209885597229
