Wall time,Step,Value
1589376154.657097,43,0.0
1589376302.320741,95,0.0
1589376323.872237,168,0.0
1589376342.102557,230,0.0
1589376343.581812,235,0.0
1589376355.072271,274,0.0
1589376365.324065,309,0.0
1589376365.913363,311,0.0
1589376368.205608,319,0.0
1589376413.866025,475,0.0
1589376431.92439,537,0.0
1589376477.258918,580,0.0
1589376479.321132,587,0.0
1589376493.253932,635,0.0
1589376497.090071,648,0.0
1589376516.736328,715,1.0
1589376544.112102,809,0.0
1589376605.265639,1015,0.25
1589376620.294583,1067,0.0
1589376726.69823,1317,0.0
1589376731.619162,1334,0.0
1589376732.798346,1338,0.0
1589376746.836189,1386,0.0
1589376748.89191,1393,0.0
1589376761.844487,1437,0.0
1589376869.111909,1692,0.0
1589376881.599212,1735,0.0
1589376882.480643,1738,0.0
1589376923.084237,1878,0.0
1589376934.789023,1918,0.0
1589376970.015035,2037,1.0
1589376987.711388,2097,0.5
1589377050.521051,2200,0.0
1589377068.963215,2263,0.0
1589377081.934388,2308,0.0
1589377105.924619,2390,1.0
1589377119.633409,2437,0.0
1589377134.11732,2486,0.0
1589377134.414394,2487,0.0
1589377137.876304,2499,0.0
1589377147.742143,2533,0.0
1589377225.768072,2686,0.0
1589377241.728625,2741,0.0
1589377329.794028,3039,0.0
1589377418.680378,3231,0.0
1589377423.384523,3247,0.0
1589377440.446031,3306,0.0
1589377532.137404,3619,0.0
1589377532.727555,3621,0.0
1589377547.339282,3671,0.0
1589377602.226965,3742,0.0
1589377623.432972,3815,0.0
1589377625.511599,3822,0.0
1589377656.92675,3929,0.0
1589377665.074508,3957,0.0
1589377689.334413,4037,0.0
1589377736.327897,4197,0.6666666865348816
1589377806.524488,4318,0.0
1589377830.405767,4401,0.5
1589377857.441732,4493,0.0
1589377862.482775,4510,0.0
1589377908.98944,4669,0.0
1589377911.362838,4677,0.0
1589377979.574183,4789,0.25
1589378033.244945,4972,0.3333333432674408
1589378073.428281,5107,0.0
1589378081.639424,5135,0.0
1589378177.67405,5346,0.0
1589378181.821112,5360,0.0
1589378237.686784,5550,0.5
1589378275.971818,5680,0.0
1589378289.012356,5724,0.0
1589378313.985673,5809,0.0
1589378365.432448,5865,0.0
1589378367.528882,5872,0.5
1589378378.054118,5908,0.0
1589378402.374093,5991,0.0
1589378464.266575,6201,0.0
1589378469.756895,6220,0.6666666865348816
1589378490.095289,6290,1.0
1589378606.961396,6575,0.0
1589378615.328942,6604,0.0
1589378643.538577,6700,0.0
1589378647.078613,6712,0.0
1589378688.712651,6855,0.0
1589378754.638542,6967,0.0
1589378798.392625,7115,0.0
1589378810.390196,7156,0.0
1589378876.237195,7383,0.5
1589378932.237139,7461,0.6666666865348816
1589378933.118869,7464,0.0
1589378947.019835,7512,0.0
1589379027.983988,7789,0.0
1589379030.926546,7799,0.6666666865348816
1589379041.155325,7834,0.0
1589379119.368553,7992,0.0
1589379142.12176,8067,0.3333333432674408
1589379175.540018,8181,0.3333333432674408
1589379187.484345,8222,0.0
1589379228.586105,8364,0.0
1589379232.69828,8378,0.0
1589379301.575057,8499,0.0
1589379304.515891,8509,0.0
1589379331.610455,8602,0.0
1589379412.296784,8879,0.0
1589379426.768932,8929,0.0
1589379428.823837,8936,1.0
1589379480.228297,8994,0.0
1589379558.839794,9261,0.0
1589379619.593991,9469,0.0
1589379678.45888,9555,0.0
1589379682.283165,9568,0.0
1589379715.264042,9681,0.3333333432674408
1589379720.481308,9699,0.0
1589379762.682999,9844,0.0
1589379781.212495,9908,0.0
1589379923.110234,10277,0.0
1589379925.167356,10284,0.0
1589379958.74637,10400,0.0
1589379982.131129,10480,0.0
1589379994.607676,10523,0.0
1589380052.930294,10608,0.0
1589380096.686188,10758,0.0
1589380096.97864,10759,0.0
1589380103.442711,10781,0.0
1589380123.922118,10851,0.0
1589380139.069703,10903,0.0
1589380139.952426,10906,0.0
1589380157.777243,10967,0.0
1589380160.144012,10975,0.5
1589380174.385884,11021,0.0
1589380231.669476,11103,0.0
1589380324.430469,11420,0.0
